ticker,median_bars_per_day,trading_days,total_returns,liquidity_class
AA,388.0,139,53377,eval_eligible
AAL,389.0,139,53619,eval_eligible
AAN,319.0,139,43754,train_only
AAP,345.0,139,46713,train_only
AAT,163.0,139,24770,excluded
AAXN,306.0,139,41614,train_only
ABCB,202.0,139,29338,excluded
ABM,179.0,139,26239,excluded
ABMD,301.0,139,41494,train_only
ACA,164.0,139,23896,excluded
ACAD,369.0,139,50313,eval_eligible
ACC,272.0,139,38791,excluded
ACHC,287.0,139,39563,train_only
ACIW,287.0,139,39554,train_only
ACM,352.0,139,47851,eval_eligible
ADC,187.0,139,26882,excluded
ADPT,289.0,139,38441,train_only
ADS,327.0,139,44422,train_only
ADT,337.0,139,45578,train_only
ADUS,95.0,139,14996,excluded
AEIS,178.0,139,24733,excluded
AEL,230.0,139,33113,excluded
AEO,389.0,139,53439,eval_eligible
AER,316.0,139,43424,train_only
AES,387.0,139,53256,eval_eligible
AFG,183.0,139,26083,excluded
AGCO,264.0,139,36528,excluded
AGIO,299.0,139,40978,train_only
AGNC,387.0,139,53117,eval_eligible
AGO,252.0,139,34773,excluded
AIT,131.0,139,19042,excluded
AIV,342.0,139,46520,train_only
AIZ,226.0,139,31511,excluded
AJRD,242.0,139,33735,excluded
AKR,249.0,139,34034,excluded
AL,286.0,139,39885,train_only
ALB,381.0,139,52129,eval_eligible
ALE,155.0,139,23556,excluded
ALEC,190.0,139,28261,excluded
ALGT,83.0,139,15188,excluded
ALK,359.0,139,47992,eval_eligible
ALKS,357.0,139,48952,eval_eligible
ALLE,313.0,139,42213,train_only
ALLK,169.0,139,25064,excluded
ALLO,237.0,139,31500,excluded
ALLY,387.0,139,53224,eval_eligible
ALRM,201.0,139,28998,excluded
ALSN,345.0,139,46863,train_only
ALV,284.0,139,36532,train_only
AMBA,301.0,139,40896,train_only
AMCX,282.0,139,39518,train_only
AMED,150.0,139,22058,excluded
AMG,292.0,139,40246,train_only
AMH,369.0,139,50386,eval_eligible
AMKR,314.0,139,43547,train_only
AMN,186.0,139,26802,excluded
AN,280.0,139,38612,train_only
ANGI,348.0,139,47063,train_only
AOS,369.0,139,49968,eval_eligible
APA,389.0,139,53556,eval_eligible
APAM,218.0,139,31872,excluded
APLE,358.0,139,49020,eval_eligible
APLS,288.0,139,39383,train_only
APTV,357.0,139,48411,eval_eligible
AQUA,252.0,139,36060,excluded
ARCC,365.0,139,50106,eval_eligible
ARI,324.0,139,44896,train_only
ARMK,362.0,139,49316,eval_eligible
ARNA,240.0,139,33766,excluded
ARNC,385.0,139,52842,eval_eligible
ARVN,156.0,139,22885,excluded
ARW,276.0,139,37516,excluded
ARWR,379.0,139,51924,eval_eligible
ASB,346.0,139,47106,train_only
ASGN,151.0,139,22780,excluded
ASH,261.0,139,36559,excluded
ATCO,289.5,16,4420,train_only
